floatvalue,timestamp,deviceid
43.79999923706055,2020-04-07 03:04:22.771,CakebreadId_0036
43.5,2020-04-07 03:19:22.828,CakebreadId_0036
43.20000076293945,2020-04-08 08:33:28.641,CakebreadId_0036
50.0,2020-04-01 07:12:54.688,CakebreadId_0036
43.400001525878906,2020-04-02 11:21:00.349,CakebreadId_0036
42.29999923706055,2020-04-02 11:31:00.382,CakebreadId_0036
42.599998474121094,2020-04-02 11:37:00.406,CakebreadId_0036
42.599998474121094,2020-04-09 12:09:34.192,CakebreadId_0036
45.099998474121094,2020-04-12 20:32:50.193,CakebreadId_0036
44.29999923706055,2020-04-07 03:35:22.848,CakebreadId_0036
43.5,2020-04-08 08:49:28.685,CakebreadId_0036
49.20000076293945,2020-04-01 07:36:54.780,CakebreadId_0036
43.20000076293945,2020-04-02 11:52:00.450,CakebreadId_0036
41.29999923706055,2020-04-02 11:58:00.474,CakebreadId_0036
43.29999923706055,2020-04-02 12:02:00.490,CakebreadId_0036
41.5,2020-04-09 12:15:34.218,CakebreadId_0036
43.400001525878906,2020-04-09 12:18:34.230,CakebreadId_0036
42.900001525878906,2020-04-09 12:32:34.273,CakebreadId_0036
45.29999923706055,2020-04-12 21:07:50.332,CakebreadId_0036
42.900001525878906,2020-04-07 03:47:22.824,CakebreadId_0036
43.400001525878906,2020-04-08 09:09:28.731,CakebreadId_0036
43.70000076293945,2020-04-08 09:20:28.775,CakebreadId_0036
42.20000076293945,2020-04-02 12:15:00.533,CakebreadId_0036
42.599998474121094,2020-04-02 12:21:00.534,CakebreadId_0036
41.29999923706055,2020-04-09 12:38:34.297,CakebreadId_0036
43.400001525878906,2020-04-09 12:41:34.309,CakebreadId_0036
43.79999923706055,2020-04-11 15:39:44.459,CakebreadId_0036
43.20000076293945,2020-04-11 15:56:44.502,CakebreadId_0036
43.400001525878906,2020-04-07 04:09:22.984,CakebreadId_0036
44.099998474121094,2020-04-07 04:21:23.032,CakebreadId_0036
43.099998474121094,2020-04-08 09:37:28.841,CakebreadId_0036
43.0,2020-04-02 12:39:00.605,CakebreadId_0036
40.900001525878906,2020-04-02 12:43:00.621,CakebreadId_0036
43.5,2020-04-02 12:46:00.633,CakebreadId_0036
43.79999923706055,2020-04-02 13:00:00.669,CakebreadId_0036
42.900001525878906,2020-04-09 12:55:34.353,CakebreadId_0036
42.400001525878906,2020-04-09 13:02:34.369,CakebreadId_0036
45.29999923706055,2020-04-12 21:30:50.398,CakebreadId_0036
43.900001525878906,2020-04-11 16:11:44.562,CakebreadId_0036
43.29999923706055,2020-04-07 04:35:23.088,CakebreadId_0036
43.900001525878906,2020-04-07 04:46:23.110,CakebreadId_0036
44.099998474121094,2020-04-08 09:53:28.883,CakebreadId_0036
40.599998474121094,2020-04-02 13:04:00.685,CakebreadId_0036
43.400001525878906,2020-04-02 13:07:00.697,CakebreadId_0036
40.29999923706055,2020-04-02 13:10:00.709,CakebreadId_0036
43.099998474121094,2020-04-02 13:14:00.703,CakebreadId_0036
43.099998474121094,2020-04-09 13:17:34.406,CakebreadId_0036
41.29999923706055,2020-04-09 13:23:34.424,CakebreadId_0036
43.599998474121094,2020-04-09 13:27:34.440,CakebreadId_0036
43.099998474121094,2020-04-11 16:23:44.597,CakebreadId_0036
43.0,2020-04-11 16:27:44.613,CakebreadId_0036
44.099998474121094,2020-04-07 04:59:23.148,CakebreadId_0036
43.099998474121094,2020-04-08 10:05:28.944,CakebreadId_0036
42.29999923706055,2020-04-02 13:29:00.768,CakebreadId_0036
41.79999923706055,2020-04-02 13:33:00.784,CakebreadId_0036
43.599998474121094,2020-04-02 13:35:00.792,CakebreadId_0036
43.900001525878906,2020-04-09 13:35:34.475,CakebreadId_0036
44.900001525878906,2020-04-12 22:08:50.530,CakebreadId_0036
42.29999923706055,2020-04-11 16:30:44.626,CakebreadId_0036
43.5,2020-04-07 05:10:23.192,CakebreadId_0036
43.400001525878906,2020-04-07 05:26:23.250,CakebreadId_0036
44.0,2020-04-08 10:20:28.992,CakebreadId_0036
43.400001525878906,2020-04-08 10:31:29.036,CakebreadId_0036
46.70000076293945,2020-04-01 09:20:55.122,CakebreadId_0036
40.29999923706055,2020-04-02 13:39:00.808,CakebreadId_0036
43.0,2020-04-02 13:43:00.824,CakebreadId_0036
